Category,Type,Weapon,Damage,Properties,Mastery,Weight,Cost,Property_list
Simple,Melee,Club,1d4 Bludgeoning,Light,Slow,2 lb.,1 SP,Light
Simple,Melee,Dagger,1d4 Piercing,Finesse. Light. Thrown (Range 20/60),Nick,1 lb.,2 GP,Finesse. Light. Thrown
Simple,Melee,Greatclub,1d8 Bludgeoning,Two-Handed,Push,10 lb.,2 SP,Two-Handed
Simple,Melee,Handaxe,1d6 Slashing,Light. Thrown (Range 20/60),Vex,2 lb.,5 GP,Light. Thrown
Simple,Melee,Javelin,1d6 Piercing,Thrown (Range 30/120),Slow,2 lb.,5 SP,Thrown
Simple,Melee,Light Hammer,1d4 Bludgeoning,Light. Thrown (Range 20/60),Nick,2 lb.,2 GP,Light. Thrown
Simple,Melee,Mace,1d6 Bludgeoning,,Sap,4 lb.,5 GP,
Simple,Melee,Quarterstaff,1d6 Bludgeoning,Versatile (1d8),Topple,4 lb.,2 SP,Versatile
Simple,Melee,Sickle,1d4 Slashing,Light,Nick,2 lb.,1 GP,Light
Simple,Melee,Spear,1d6 Piercing,Thrown (Range 20/60). Versatile (1d8),Sap,3 lb.,1 GP,Thrown. Versatile
Simple,Ranged,Dart,1d4 Piercing,Finesse. Thrown (Range 20/60),Vex,1/4 lb.,5 CP,Finesse. Thrown
Simple,Ranged,Light Crossbow,1d8 Piercing,"Ammunition (Range 80/320, Bolt). Loading. Two-Handed",Slow,5 lb.,25 GP,Ammunition. Loading. Two-Handed
Simple,Ranged,Shortbow,1d6 Piercing,"Ammunition (Range 80/320, Arrow). Two-Handed",Vex,2 lb.,25 GP,Ammunition. Two-Handed
Simple,Ranged,Sling,1d4 Bludgeoning,"Ammunition (Range 30/120, Bullet)",Slow,,1 SP,Ammunition
Martial,Melee,Battleaxe,1d8 Slashing,Versatile (1d10),Topple,4 lb.,10 GP,Versatile
Martial,Melee,Flail,1d8 Bludgeoning,,Sap,2 lb.,10 GP,
Martial,Melee,Glaive,1d10 Slashing,Heavy. Reach. Two-Handed,Graze,6 lb.,20 GP,Heavy. Reach. Two-Handed
Martial,Melee,Greataxe,1d12 Slashing,Heavy. Two-Handed,Cleave,7 lb.,30 GP,Heavy. Two-Handed
Martial,Melee,Greatsword,2d6 Slashing,Heavy. Two-Handed,Graze,6 lb.,50 GP,Heavy. Two-Handed
Martial,Melee,Halberd,1d10 Slashing,Heavy. Reach. Two-Handed,Cleave,6 lb.,20 GP,Heavy. Reach. Two-Handed
Martial,Melee,Lance,1d10 Piercing,Heavy. Reach. Two-Handed (unless mounted),Topple,6 lb.,10 GP,Heavy. Reach. Two-Handed
Martial,Melee,Longsword,1d8 Slashing,Versatile (1d10),Sap,3 lb.,15 GP,Versatile
Martial,Melee,Maul,2d6 Bludgeoning,Heavy. Two-Handed,Topple,10 lb.,10 GP,Heavy. Two-Handed
Martial,Melee,Morningstar,1d8 Piercing,,Sap,4 lb.,15 GP,
Martial,Melee,Pike,1d10 Piercing,Heavy. Reach. Two-Handed,Push,18 lb.,5 GP,Heavy. Reach. Two-Handed
Martial,Melee,Rapier,1d8 Piercing,Finesse,Vex,2 lb.,25 GP,Finesse
Martial,Melee,Scimitar,1d6 Slashing,Finesse. Light,Nick,3 lb.,25 GP,Finesse. Light
Martial,Melee,Shortsword,1d6 Piercing,Finesse. Light,Vex,2 lb.,10 GP,Finesse. Light
Martial,Melee,Trident,1d8 Piercing,Thrown (Range 20/60). Versatile (1d10),Topple,4 lb.,5 GP,Thrown. Versatile
Martial,Melee,Warhammer,1d8 Bludgeoning,Versatile (1d10),Push,5 lb.,15 GP,Versatile
Martial,Melee,War Pick,1d8 Piercing,Versatile (1d10),Sap,2 lb.,5 GP,Versatile
Martial,Melee,Whip,1d4 Slashing,Finesse. Reach,Slow,3 lb.,2 GP,Finesse. Reach
Martial,Ranged,Blowgun,1 Piercing,"Ammunition (Range 25/100, Needle). Loading",Vex,1 lb.,10 GP,Ammunition. Loading
Martial,Ranged,Hand Crossbow,1d6 Piercing,"Ammunition (Range 30/120, Bolt). Light. Loading",Vex,3 lb.,75 GP,Ammunition. Light. Loading
Martial,Ranged,Heavy Crossbow,1d10 Piercing,"Ammunition (Range 100/400, Bolt). Heavy. Loading. Two-Handed",Push,18 lb.,50 GP,Ammunition. Heavy. Loading. Two-Handed
Martial,Ranged,Longbow,1d8 Piercing,"Ammunition (Range 150/600, Arrow). Heavy. Two-Handed",Slow,2 lb.,50 GP,Ammunition. Heavy. Two-Handed
Martial,Ranged,Musket,1d12 Piercing,"Ammunition (Range 40/120, Bullet). Loading. Two-Handed",Slow,10 lb.,500 GP,Ammunition. Loading. Two-Handed
Martial,Ranged,Pistol,1d10 Piercing,"Ammunition (Range 30/90, Bullet). Loading",Vex,3 lb.,250 GP,Ammunition. Loading
